序号,代码,名称,市场代码简称,最新价(元) 2026.05.08,涨跌幅(%) 2026.05.08,股票简称,*ST股票,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,收盘价(日线不复权)(元) 2026.05.08,总市值(元) 2026.05.08,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额(元) 2026.05.08,市盈率(动)(倍) 2026.05.08,市净率(倍) 2026.05.08,流通市值(元) 2026.05.08
31,002856,*ST美芝,SZ,14.08,2.40,*ST美芝,是,88.30|2026一季报,14.08,19.05亿,-248.61万|2026一季报,-2.14亿|2025年报,-4425.83万|2025三季报,-3476.17万|2025半年报,-2124.03万|2025一季报,-158.62万|2026一季报,-2.28亿|2025年报,-5313.54万|2025三季报,-4593.66万|2025半年报,-3043.47万|2025一季报,0.330,14.44,13.91,13.26,1.23,1643.21万,2.35亿,-191.58,-37.4377,17.45亿
32,002883,*ST中设,SZ,9.54,4.26,*ST中设,是,88.02|2026一季报,9.54,14.90亿,102.25万|2026一季报,-2742.10万|2025年报,-2914.71万|2025三季报,-1311.52万|2025半年报,54.38万|2025一季报,105.13万|2026一季报,-2233.59万|2025年报,-2914.71万|2025三季报,-1311.52万|2025半年报,54.38万|2025一季报,0.390,9.61,9.18,7.75,1.01,1188.69万,1.12亿,364.25,3.1808,14.63亿
33,002199,*ST东晶,SZ,12.02,4.98,*ST东晶,是,87.80|2026一季报,12.02,29.26亿,-179.60万|2026一季报,-5002.11万|2025年报,-3913.29万|2025三季报,-3132.77万|2025半年报,-1472.33万|2025一季报,-179.60万|2026一季报,-5002.11万|2025年报,-3913.29万|2025三季报,-3132.77万|2025半年报,-1472.33万|2025一季报,0.570,12.02,11.44,3.46,0.82,798.76万,9459.53万,-407.31,16.1567,27.76亿
34,300237,ST美晨,SZ,2.31,0.43,ST美晨,否,79.33|2026一季报,2.31,33.31亿,-1000.08万|2026一季报,-4.02亿|2025年报,-1.86亿|2025三季报,-9136.87万|2025半年报,-4839.23万|2025一季报,-1288.74万|2026一季报,-4.19亿|2025年报,-1.98亿|2025三季报,-9924.15万|2025半年报,-5206.73万|2025一季报,0.010,2.32,2.28,1.79,1.45,2575.22万,5911.30万,-83.26,74.6024,33.31亿
35,003004,*ST声迅,SZ,38.33,5.01,*ST声迅,是,76.07|2026一季报,38.33,31.38亿,-337.01万|2026一季报,-1162.04万|2025年报,-379.52万|2025三季报,-1023.92万|2025半年报,-1408.17万|2025一季报,-489.59万|2026一季报,-485.07万|2025年报,-314.16万|2025三季报,-1021.43万|2025半年报,-1421.50万|2025一季报,1.830,38.33,38.33,0.17,0.18,11.59万,444.24万,-232.77,4.9714,26.35亿
36,600423,*ST柳化,SH,3.22,1.90,*ST柳化,是,70.37|2026一季报,3.22,25.72亿,371.69万|2026一季报,-2571.25万|2025年报,700.57万|2025三季报,344.28万|2025半年报,218.16万|2025一季报,371.69万|2026一季报,-2571.25万|2025年报,700.57万|2025三季报,344.28万|2025半年报,218.16万|2025一季报,0.060,3.25,3.13,1.52,0.36,1212.83万,3890.43万,172.98,4.8488,25.72亿
37,000056,*ST皇庭,SZ,1.69,-0.59,*ST皇庭,是,60.61|2026一季报,1.69,19.98亿,-3231.10万|2026一季报,-27.30亿|2025年报,-24.44亿|2025三季报,-1.85亿|2025半年报,-8203.01万|2025一季报,-1991.06万|2026一季报,-27.41亿|2025年报,-24.50亿|2025三季报,-2.01亿|2025半年报,-8953.99万|2025一季报,-0.010,1.75,1.62,8.07,0.65,7296.73万,1.22亿,-15.46,-0.8308,15.27亿
38,300212,*ST易录,SZ,6.22,2.47,*ST易录,是,60.00|2026一季报,6.22,44.78亿,-4807.22万|2026一季报,-27.17亿|2025年报,-5.35亿|2025三季报,-3.17亿|2025半年报,-1.20亿|2025一季报,-4779.83万|2026一季报,-27.36亿|2025年报,-5.37亿|2025三季报,-3.18亿|2025半年报,-1.23亿|2025一季报,0.150,6.47,6.03,6.65,0.91,4647.10万,2.92亿,-23.29,-2.2381,43.45亿
39,600119,*ST长投,SH,6.44,4.38,*ST长投,是,58.23|2026一季报,6.44,23.52亿,-270.93万|2026一季报,-4595.15万|2025年报,-1458.97万|2025三季报,-960.47万|2025半年报,-648.57万|2025一季报,-124.05万|2026一季报,-4069.95万|2025年报,-974.15万|2025三季报,-527.92万|2025半年报,-448.17万|2025一季报,0.270,6.44,6.13,2.53,0.52,925.88万,5847.90万,-217.06,31.6917,23.52亿
40,603825,ST华扬,SH,8.74,2.46,ST华扬,否,57.18|2026一季报,8.74,22.14亿,-2383.07万|2026一季报,-6.53亿|2025年报,-2.67亿|2025三季报,-2.09亿|2025半年报,-5564.94万|2025一季报,-2092.88万|2026一季报,-6.53亿|2025年报,-2.68亿|2025三季报,-2.11亿|2025半年报,-5881.76万|2025一季报,0.210,8.76,8.53,0.90,0.88,226.81万,1971.14万,-23.23,71.0883,22.14亿
41,002514,*ST宝馨,SZ,2.92,-4.89,*ST宝馨,是,47.08|2026一季报,2.92,21.03亿,-1255.16万|2026一季报,-2.14亿|2025年报,-5445.58万|2025三季报,-4482.68万|2025半年报,-2371.62万|2025一季报,-1255.16万|2026一季报,-2.14亿|2025年报,-5445.58万|2025三季报,-4482.68万|2025半年报,-2371.62万|2025一季报,-0.150,2.92,2.92,2.57,1.62,1425.57万,4162.66万,-41.88,-39.8234,16.18亿
42,000820,*ST节能,SZ,3.82,0.53,*ST节能,是,45.37|2026一季报,3.82,24.70亿,-100.15万|2026一季报,-6403.04万|2025年报,-879.80万|2025三季报,-702.15万|2025半年报,-183.31万|2025一季报,13.10万|2026一季报,-1.24亿|2025年报,-1378.99万|2025三季报,-1204.26万|2025半年报,-326.20万|2025一季报,0.020,3.96,3.81,5.07,0.93,1507.06万,5841.52万,-616.56,28.7169,11.34亿
43,300460,ST惠伦,SZ,10.11,2.43,ST惠伦,否,43.64|2026一季报,10.11,28.39亿,-835.84万|2026一季报,-1.66亿|2025年报,-7611.94万|2025三季报,-6658.32万|2025半年报,-1483.05万|2025一季报,-835.84万|2026一季报,-1.66亿|2025年报,-7611.94万|2025三季报,-6658.32万|2025半年报,-1480.99万|2025一季报,0.240,10.15,9.88,3.43,1.47,963.34万,9649.41万,-84.91,6.1778,28.39亿
44,300044,*ST赛为,SZ,6.52,5.16,*ST赛为,是,41.87|2026一季报,6.52,49.80亿,-1072.38万|2026一季报,-12.64亿|2025年报,-5368.76万|2025三季报,-2585.98万|2025半年报,-1844.94万|2025一季报,-1109.81万|2026一季报,-12.67亿|2025年报,-5534.28万|2025三季报,-2668.03万|2025半年报,-1866.86万|2025一季报,0.320,6.73,6.11,5.11,1.29,3657.59万,2.34亿,-116.11,-4.3489,46.64亿
45,600734,*ST实达,SH,2.12,4.95,*ST实达,是,39.13|2026一季报,2.12,46.18亿,-1195.21万|2026一季报,-1.46亿|2025年报,-8757.10万|2025三季报,-5550.87万|2025半年报,-1963.46万|2025一季报,-1243.68万|2026一季报,-1.48亿|2025年报,-8896.02万|2025三季报,-5626.64万|2025半年报,-1990.45万|2025一季报,0.100,2.12,2.04,2.99,0.40,6502.14万,1.36亿,-96.59,20.1493,46.17亿
