symbol_dir,report_file,rel_path,inferred_date,date_source,confidence,file_birthtime
001965,招商公路_稳健投资策略分析报告.md,001965/招商公路_稳健投资策略分析报告.md,2026-04-20,内容-元数据完整日期,high,2026-05-01 08:37:56
001979,招商蛇口_稳健投资策略分析报告.md,001979/招商蛇口_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:06:05
002007,华兰生物投资分析报告.md,002007/华兰生物投资分析报告.md,2026-04-24,内容-元数据完整日期,high,2026-04-24 09:19:47
002014,永新股份_稳健投资策略分析报告.md,002014/永新股份_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:03:09
002027,分众传媒_稳健投资策略分析报告.md,002027/分众传媒_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:06:52
002032,苏泊尔_稳健投资策略分析报告.md,002032/苏泊尔_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:40:04
002035,华帝股份_稳健投资策略分析报告.md,002035/华帝股份_稳健投资策略分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:29:32
002088,鲁阳节能_稳健投资策略分析报告_20260423.md,002088/鲁阳节能_稳健投资策略分析报告_20260423.md,2026-04-23,文件名-完整日期,high,2026-04-23 21:02:21
002088,鲁阳节能_稳健投资策略分析报告.md,002088/鲁阳节能_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:53:41
002091,江苏国泰_投资分析报告.md,002091/江苏国泰_投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-24 01:00:55
002223,鱼跃医疗_稳健投资策略分析报告.md,002223/鱼跃医疗_稳健投资策略分析报告.md,2026-05-01,内容-元数据完整日期,high,2026-05-01 09:09:11
002228,合兴包装_投资分析报告.md,002228/合兴包装_投资分析报告.md,2026-04-23,内容-元数据完整日期,high,2026-04-23 21:10:19
